month,respiratory,gastrointestinal,pain_aches,skin_allergy,injury_trauma,neurological_psychological,cardiovascular,fever_general,total_cases
2018-09-01,50,27,116,14,14,0,0,11,232.0
2018-10-01,43,27,120,12,13,1,0,9,225.0
2018-11-01,22,15,50,8,1,2,0,1,99.0
2018-12-01,47,20,93,11,5,5,0,9,190.0
2019-01-01,49,50,138,15,13,2,0,31,298.0
2019-02-01,59,32,145,14,18,0,0,14,282.0
2019-03-01,45,38,121,15,7,1,0,9,236.0
2019-04-01,21,28,48,7,2,0,0,1,107.0
2019-05-01,19,17,38,3,0,1,0,4,82.0
2019-06-01,55,15,67,7,3,3,0,7,157.0
2019-07-01,109,74,233,16,7,2,0,33,474.0
2019-08-01,98,42,189,11,13,4,0,19,376.0
2019-09-01,65,39,147,19,15,3,0,20,308.0
2019-10-01,48,22,96,22,8,4,0,24,224.0
2019-11-01,42,16,65,9,9,2,0,7,150.0
2019-12-01,43,15,78,15,6,1,0,5,163.0
2020-01-01,43,46,114,17,15,2,0,8,245.0
2020-02-01,40,42,113,18,8,9,0,9,239.0
2020-03-01,29,27,90,7,5,2,1,8,169.0
2023-01-01,2,4,8,0,0,1,0,0,15.0
2023-02-01,0,1,3,0,0,0,0,0,4.0
2023-03-01,7,3,10,2,0,0,0,1,23.0
2023-04-01,3,6,17,2,0,0,0,0,28.0
2023-05-01,7,9,24,3,0,2,0,1,46.0
2023-06-01,6,14,16,3,1,0,0,1,41.0
2023-07-01,1,3,11,2,0,0,0,0,17.0
2023-08-01,1,0,10,2,0,0,1,0,14.0
2023-09-01,5,9,21,2,0,0,0,1,38.0
2023-10-01,7,4,12,0,0,0,0,1,24.0
2023-11-01,2,2,11,0,0,0,0,0,15.0
2023-12-01,3,1,8,2,0,1,0,0,15.0
2024-01-01,4,3,9,1,0,0,0,4,21.0
2024-02-01,3,5,12,2,0,0,0,0,22.0
2024-03-01,7,6,25,5,1,0,0,9,53.0
2024-04-01,9,12,21,4,1,2,0,5,54.0
2024-05-01,22,24,49,7,3,0,1,4,110.0
2024-06-01,21,15,49,14,1,4,1,11,116.0
2024-07-01,28,21,45,14,2,4,0,9,123.0
2024-08-01,18,16,43,8,6,0,1,3,95.0
2024-09-01,61,43,67,31,20,16,1,13,252.0
2024-10-01,94,49,120,23,28,24,5,19,362.0
2024-11-01,71,40,95,28,23,18,2,25,302.0
2024-12-01,53,38,84,8,23,9,1,11,227.0
2025-01-01,22,25,57,10,15,10,0,17,156.0
2025-02-01,58,34,85,28,25,11,1,11,253.0
2025-03-01,59,26,101,16,21,7,0,14,244.0
2025-04-01,55,39,93,23,28,4,0,17,259.0
2025-05-01,47,32,88,23,26,12,2,10,240.0
2025-06-01,23,19,59,8,10,11,1,9,140.0
2025-07-01,35,16,63,9,6,2,0,12,143.0
2025-08-01,46,15,48,13,6,7,2,13,150.0
2025-09-01,20,17,68,11,9,0,0,17,
